A,B,Tytuł,Opis,Linki
Maciej Domżała,Wojciech Kuranowski,,Kuranowski zastąpił Domżałę w Radzie Nadzorczej Era 200 sp. z o.o. KRS 0000116365 - spółki matki Radiusa,
Maciej Domżała,Jan L.,,"Jan L. i Maciej Domżała byli wspólnikami w firmie Łopuszańska-DK Investment (przemianowanej na Łopuszańska Coffee KRS 00000306934, wykreslona z KRS w lutym 2016 r.). Jan L. był udziałowcem prywatnym, a M. Domżała najpierw prywatnym, a potem przez spółkę Dom Investment KRS 0000196411",
Maciej Domżała,Robert Szustkowski,,"Panowie są partnerami w biznesie - razem kontrolują grupę Radius. Wspólnicy w spółce Radius Projekt 1 SPV (KRS 0000488273). 
Wspólnicy wraz z J. Kuprijaniukiem w Forum 58 sp. z o.o. KRS 0000486310",
Tomasz Górniak,Andrzej Muszyński,,"Razem w zreaktywowanej przedwojennej spółce Nowe Dzielnice KRS 0000373494, która przedstawiła roszczenia do terenów ogródków działkowych przy ul. Waszyngtona, a następnie sprzedała je spółce Projekt S KRS 0000164999 Echo Investments. Problem w tym, że prokuratura ustaliła, że akcje tej spółki będące podstawą jej reaktywacji nie mogły trafić w ręce reaktywowanej spółki Nowe Dzielnice, gdyż należały do belgijskiej spółki TSVV, której roszczenia wobec Polski wygasły na podstawie umowy indemnizacyjnej podpisanej przez rząd polski w latach 70-tych.",http://pzd.pl/uploads/5/Wyja%C5%9Bnienia%20Prokuratury.pdf
Tomasz Górniak,Robert Nowaczyk,,Wspólnicy w reaktywowanych przedwojennych spółkach starających się o zwrot nieruchomości. Razem zasiadają w zarządzie Siła i Światło KRS 0000381580,
Hanna Gronkiewicz-Waltz,Andrzej Kawalec,,"Mąż Hanny Gronkiewicz-Waltz, Andrzej Waltz oraz jej córka sprzedali swoje prawa do bezprawnie zwróconej kamienicy przy ul. Noakowskiego 16 firmie Fenix kontrolowanej przez Kawalca i Martyniaka",
Emanuel Grykin,Marek Kolarski,,"Kolarski jest wraz z cypryjską spółką Brewis Investment Ltd. nr rej. ΗΕ 217433 współwłaścicielem Icon Real Estate 9 sp. z o.o. KRS 0000524738 oraz firmy Icon Re 1 Inwestycje sp. k. 0000553005, w której prezesem zarządu jest Grykin. Do firm związanych z grupą Icon (Poznańska 37 sp. z o.o. KRS 0000396998, Okólnik sp. z o.o. KRS 0000536786, Pańska sp. z o.o., należą zreprywatyzowane kamienice przy ul. Poznańskiej 37 oraz Okólnik 9A / Ordynackiej.",
Emanuel Grykin,Jan L.,,Wspólnicy w spółce Celestynów Park sp. z o.o. KRS 0000408548 Grykin był w zarządzie spółki Jana L. Celestynów Park. Jan L. przepisał udziały w firmie na spółkę Brewis Limited. Brewis jest dzisiaj właścicielem grupy ICON. Firma ma siedzibę w budynku należącym do grupy Radius na Rozbrat 44a.,
Katarzyna Janowska,Andrzej Kawalec,,"Janowska obsługuje prawnie Fenixa. Siedziba spółek Grupy Fenix oraz Stowarzyszenia Warszawa Odnowa, którego Janowska jest prezesem, mieszczą się przy Noakowskiego 16",
Katarzyna Janowska,Piotr Wocial,,Katarzyna Janowska pracuje w kancelarii Piotra Wociala od 2005 roku. https://www.linkedin.com/in/janowskakatarzyna,
